Title,Price (£),Rating (out of 5),Category,Availability,URL
A Light in the Attic,£41.96,1,Science,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1/index.html
Tipping the Velvet,£21.15,1,Mystery,Out of stock,https://books.toscrape.com/catalogue/tipping-the-velvet_2/index.html
Soumission,£39.51,1,Mystery,In stock,https://books.toscrape.com/catalogue/soumission_3/index.html
Sharp Objects,£20.92,5,Fiction,In stock (1 available),https://books.toscrape.com/catalogue/sharp-objects_4/index.html
Sapiens: A Brief History,£38.05,5,Science,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history_5/index.html
The Requiem Red,£32.45,3,Nonfiction,In stock,https://books.toscrape.com/catalogue/the-requiem-red_6/index.html
The Dirty Little Secrets,£44.90,3,Nonfiction,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets_7/index.html
The Coming Woman,£20.76,3,Mystery,In stock,https://books.toscrape.com/catalogue/the-coming-woman_8/index.html
The Boys in the Boat,£28.99,3,Travel,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat_9/index.html
The Black Maria,£23.22,1,Biography,In stock,https://books.toscrape.com/catalogue/the-black-maria_10/index.html
Starving Hearts,£16.23,4,Biography,In stock,https://books.toscrape.com/catalogue/starving-hearts_11/index.html
Shakespeare's Sonnets,£24.65,5,Travel,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_12/index.html
Set Me Free,£19.60,1,Science,In stock,https://books.toscrape.com/catalogue/set-me-free_13/index.html
Scott Pilgrim's Precious Little Life,£48.64,1,Mystery,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life_14/index.html
Rip it Up,£29.00,4,Nonfiction,In stock,https://books.toscrape.com/catalogue/rip-it-up_15/index.html
Our Band Could Be Your Life,£28.50,2,Mystery,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life_16/index.html
Olio,£40.45,2,Science,Out of stock,https://books.toscrape.com/catalogue/olio_17/index.html
Mesaerion: The Best Sci Fi Stories,£18.16,4,Biography,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-sci-fi-stories_18/index.html
Libertarianism for Beginners,£20.97,3,Science,In stock,https://books.toscrape.com/catalogue/libertarianism-for-beginners_19/index.html
It's Only the Himalayas,£51.08,3,History,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_20/index.html
In Her Wake,£13.30,5,Science,In stock,https://books.toscrape.com/catalogue/in-her-wake_21/index.html
How Music Works,£42.76,4,Nonfiction,In stock,https://books.toscrape.com/catalogue/how-music-works_22/index.html
Foolscap,£23.23,2,Biography,Out of stock,https://books.toscrape.com/catalogue/foolscap_23/index.html
Forever Rockers,£23.13,5,Travel,In stock,https://books.toscrape.com/catalogue/forever-rockers_24/index.html
Forging the Future,£29.96,2,Biography,In stock,https://books.toscrape.com/catalogue/forging-the-future_25/index.html
Emma,£34.67,1,Nonfiction,In stock,https://books.toscrape.com/catalogue/emma_26/index.html
Eating Animals,£41.36,4,Mystery,In stock (1 available),https://books.toscrape.com/catalogue/eating-animals_27/index.html
Driveway to Heaven,£29.23,5,Biography,In stock,https://books.toscrape.com/catalogue/driveway-to-heaven_28/index.html
Deep Blue,£22.56,5,Mystery,In stock,https://books.toscrape.com/catalogue/deep-blue_29/index.html
Darkness at Dawn,£44.08,5,Fantasy,In stock,https://books.toscrape.com/catalogue/darkness-at-dawn_30/index.html
Critic,£15.57,4,Horror,In stock,https://books.toscrape.com/catalogue/critic_31/index.html
Crown of Midnight,£10.15,3,Nonfiction,Out of stock,https://books.toscrape.com/catalogue/crown-of-midnight_32/index.html
Bounty,£35.37,1,Biography,In stock,https://books.toscrape.com/catalogue/bounty_33/index.html
Blood Brothers,£40.44,2,Nonfiction,In stock,https://books.toscrape.com/catalogue/blood-brothers_34/index.html
Because of Winn-Dixie,£36.96,5,Travel,In stock,https://books.toscrape.com/catalogue/because-of-winn-dixie_35/index.html
At The Existentialist Café,£26.20,1,Fantasy,In stock,https://books.toscrape.com/catalogue/at-the-existentialist-café_36/index.html
Aniquilación,£53.93,3,Fiction,In stock,https://books.toscrape.com/catalogue/aniquilación_37/index.html
Alice in Wonderland,£22.03,5,Mystery,In stock,https://books.toscrape.com/catalogue/alice-in-wonderland_38/index.html
Aladdin and His Wonderful Lamp,£46.59,1,Nonfiction,Out of stock,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_39/index.html
Agile Testing: A Practical Guide,£16.41,4,Nonfiction,Out of stock,https://books.toscrape.com/catalogue/agile-testing-a-practical-guide_40/index.html
A Spy's Devotion,£23.24,5,Science,In stock,https://books.toscrape.com/catalogue/a-spys-devotion_41/index.html
A Short History of Nearly Everything,£56.44,2,Romance,In stock,https://books.toscrape.com/catalogue/a-short-history-of-nearly-everything_42/index.html
A Gentleman in Moscow,£59.75,3,Biography,In stock,https://books.toscrape.com/catalogue/a-gentleman-in-moscow_43/index.html
A Feast for Crows,£32.56,2,Mystery,In stock,https://books.toscrape.com/catalogue/a-feast-for-crows_44/index.html
A Dance with Dragons,£26.89,5,Science,Out of stock,https://books.toscrape.com/catalogue/a-dance-with-dragons_45/index.html
A Court of Thorns and Roses,£39.41,1,Fiction,In stock,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses_46/index.html
Americanah,£21.44,1,Mystery,In stock,https://books.toscrape.com/catalogue/americanah_47/index.html
An Abundance of Katherines,£35.70,3,Science,In stock,https://books.toscrape.com/catalogue/an-abundance-of-katherines_48/index.html
And Then There Were None,£36.95,5,Horror,In stock (1 available),https://books.toscrape.com/catalogue/and-then-there-were-none_49/index.html
Anna Karenina,£22.14,4,Science,In stock,https://books.toscrape.com/catalogue/anna-karenina_50/index.html
Atomic Habits,£14.71,4,Romance,In stock,https://books.toscrape.com/catalogue/atomic-habits_51/index.html
Bad Feminist,£30.55,1,Fiction,In stock,https://books.toscrape.com/catalogue/bad-feminist_52/index.html
Beautiful Ruins,£30.12,3,Science,In stock,https://books.toscrape.com/catalogue/beautiful-ruins_53/index.html
